kanji,meaning
煙,fumarolas
煙,humear
燕,golondrina
猿,mono
猿,simio
縁,afinidad
縁,relación
縁,conexión
縁,borde
縁,frontera
縁,margen
艶,encantador
艶,cautivador
艶,lustroso
艶,vidriado
艶,pulido
苑,"jardín imperial"
苑,jardín
苑,parque
遠,lejos
遠,distante
鉛,plomo
塩,sal
於,en
於,sobre
於,"de acuerdo a"
汚,sucio
汚,manchado
汚,manchar
汚,deshonrar
汚,ensuciar
汚,difamar
汚,obsceno
汚,ensuciarse
甥,sobrino
凹,hueco
凹,cóncavo
凹,hundido
央,centro
央,"en medio"
奥,profundo
奥,interior
奥,esposa
往,ir
往,"tiempos antiguos"
往,"a veces"
応,contestar
応,responder
応,aceptar
応,apropiado
応,adecuado
押,empujar
押,presionar
押,forzar
押,contener
押,reprimir
押,suprimir
旺,floreciente
旺,exitoso
旺,bello
旺,vigoroso
横,lateral
横,lado
横,horizontal
横,egoísta
横,incorrecto
横,costado
欧,Europa
殴,asaltar
殴,golpear
殴,apalear
王,rey
王,regla
王,magnate
翁,anciano
鴎,gaviota
黄,amarillo
岡,monte
岡,colina
岡,"cima de una colina"
沖,"mar abierto"
沖,"alta mar"
沖,ascender
荻,junco
億,"cien millones"
億,"10 elevado a 8"
屋,casa
屋,tejado
屋,tienda
憶,"100 millones"
憶,"cantidad grande"
臆,pecho
臆,mente
臆,adivinar
臆,conjeturar
臆,timidez
臆,cobardía
桶,cubo
桶,balde
桶,tina
桶,bañera
牡,macho
牡,masculino
乙,segundo
乙,duplicado
乙,extraño
乙,ingenioso
乙,elegante
俺,yo
俺,"yo mismo"
卸,"venta al por mayor"
恩,gracia
恩,bondad
恩,favor
恩,bendición
恩,compasión
温,templado
温,cálido
温,amable
温,afable
温,calentarse
温,calentar
穏,tranquilo
穏,"en calma"
穏,silencioso
穏,moderación
穏,calmado
穏,amable
音,sonido
音,ruido
下,debajo
下,inferior
下,"debajo de"
下,"parte inferior"
化,cambiar
化,transformarse
化,modificarse
化,disfrazarse
仮,temporal
仮,provisional
仮,falso
何,qué
伽,asistencia
伽,cuidado
伽,atención
価,valor
価,precio
価,coste
価,mérito
佳,excelente
佳,bello
佳,bonito
加,agregar
加,añadir
加,incrementar
加,Canadá
加,sumar
加,unirse
可,bueno
可,aprobación
可,posible
可,"poder hacer"
嘉,bueno
嘉,bonito
嘉,alabar
嘉,alegrarse
夏,verano
嫁,novia
嫁,nuera
嫁,casarse
嫁,"dar responsabilidad"
家,casa
家,hogar
家,especialista
寡,poco
寡,solo
寡,viudo
科,departamento
科,curso
科,materia
科,falta
科,delito
暇,"tiempo libre"
暇,descanso
暇,ocio
暇,"tiempo libre ocio"
暇,separación
暇,adiós
果,fruto
果,resultado
果,"llevar a cabo"
果,finalizar
架,montar
架,apoyar
架,estante
架,construir
架,colgar
架,"construir un puente"
歌,canción
歌,cantar
河,río
河,corriente
火,fuego
火,flama
火,llama
