kanji,meaning
駒,"pieza (shogi)"
具,herramienta
具,utensilio
具,ingredientes
愚,estupidez
愚,tontería
愚,"prefijo humilde para cosas propias"
虞,desasosiego
虞,ansiedad
虞,preocupación
虞,aprensión
空,cielo
空,atmósfera
空,vacío
空,vacante
空,"quedarse vacío"
空,vaciar
偶,"número par"
偶,accidental
偶,casual
偶,pareja
遇,"tratar con"
遇,"encuentro por casualidad"
遇,hospitalidad
隅,esquina
隅,rincón
串,broqueta
串,espetón
釧,brazalete
釧,pulsera
屑,basura
屑,desechos
屑,chatarra
屑,pedazos
屈,doblar
屈,torcer
屈,curvar
屈,rendirse
屈,encogerse
屈,someter
掘,cavar
掘,excavar
掘,taladrar
掘,"hurgar en"
靴,zapatos
窪,depresión
窪,cavidad
窪,hueco
熊,oso
隈,esquina
隈,rincón
隈,hueco
隈,"rabillo del ojo"
栗,castaña
栗,estricto
繰,devanar
繰,ovillar
繰,"pasar páginas"
桑,mora
桑,morera
勲,"acción meritoria"
勲,"servicio distinguido"
勲,mérito
君,señor
君,don
君,"tú (familiarmente)"
薫,fragancia
薫,olfatear
訓,lección
訓,"lectura japonesa de un carácter"
群,manada
群,rebaño
群,grupo
群,gentío
群,multitud
群,tropel
群,hacinarse
群,amontonarse
群,aglomerarse
軍,ejército
軍,tropas
郡,condado
郡,distrito
袈,"tejido vulgar"
袈,"tela de mala calidad"
係,cargo
係,deber
係,concernir
係,afectar
傾,apoyo
傾,inclinación
傾,hundimiento
傾,prejuicio
傾,predisposición
傾,apoyarse
傾,inclinarse
傾,hundirse
傾,arruinar
傾,estropear
刑,pena
刑,sentencia
刑,castigo
兄,"hermano mayor"
啓,abrir
啓,aclarar
啓,revelar
啓,decir
圭,"joya cuadrada de la Antigua China"
型,tipo
型,modelo
型,patrón
契,compromiso
契,promesa
契,voto
契,prometer
契,"dar su palabra"
形,forma
形,figura
形,tipo
径,diámetro
径,camino
径,método
恵,favor
恵,bendición
恵,gracia
恵,bondad
恵,"ser bondadoso"
恵,favorecer
慶,júbilo
慶,felicidad
慶,diversión
慶,regocijo
慧,inteligencia
慧,astucia
慧,sabiduría
憩,receso
憩,descanso
憩,tranquilidad
憩,reposo
憩,"tomarse un descanso"
掲,colgar
掲,levantar
掲,alzar
掲,exhibir
掲,publicar
携,portátil
携,"llevar en mano"
敬,respeto
敬,honor
敬,"mostrar respeto"
敬,respetar
景,paisaje
景,vista
景,panorama
景,escena
桂,"árbol aromático"
桂,"árbol de judas"
渓,"arroyo de montaña"
渓,valle
渓,garganta
稽,pensamiento
稽,consideración
稽,comparación
稽,pensar
稽,considerar
稽,comparar
稽,contar
系,sistema
系,conexión
系,relación
系,linaje
経,sutra
経,longitud
経,ley
経,pasar
経,dirigir
経,transcurrir
経,experimentar
継,sucesión
継,herencia
継,"pariente político"
継,suceder
継,heredar
継,"tener éxito"
茎,tallo
茎,caña
茎,raíz
蛍,luciérnaga
計,medida
計,cuenta
計,contar
計,pensar
計,medir
計,pesar
詣,llegada
詣,"visita a un templo"
詣,llegar
詣,alcanzar
詣,"visitar un templo"
警,amonestar
警,advertir
軽,ligero
軽,insignificante
軽,"poco serio"
軽,fácil
鶏,pollo
鶏,gallo
鶏,"ave de corral"
芸,arte
芸,técnica
迎,bienvenida
迎,recibir
迎,"ir a recibir"
鯨,ballena
劇,drama
劇,obra
劇,teatro
劇,violento
劇,intenso
撃,batida
撃,ataque
撃,derrota
撃,conquista
撃,batir
撃,atacar
撃,derrotar
撃,conquistar
撃,disparar
激,violento
激,furioso
隙,grieta
隙,hendidura
隙,fisura
隙,"tiempo libre"
隙,ocio
隙,negligencia
隙,dejadez
傑,grandeza
傑,excelencia
傑,excelente
欠,falta
欠,carestía
欠,romperse
欠,agrietarse
欠,faltar
欠,carecer
決,decidir
決,fijar
決,"quedar decidido"
潔,claro
潔,puro
潔,limpio
潔,honrado
潔,varonil
穴,agujero
穴,hueco
穴,cueva
穴,"lugar poco conocido"
穴,"lugar escondido"
結,final
結,finalizar
結,atar
結,amarrar
結,unir
結,vincular
結,"arreglarse el pelo"
血,sangre
血,consanguinidad
月,mes
月,luna
件,asunto
件,caso
倹,humilde
倹,sencillo
倹,frugal
倹,"uso útil"
健,salud
健,saludable
健,vigor
健,fuerza
健,sano
兼,concurrentemente
兼,y
兼,además
兼,"por añadidura"
兼,agarrar
兼,coger
兼,combinarse
券,billete
券,pagaré
券,certificado
剣,sable
剣,espada
剣,"hoja de espada"
喧,ruidoso
喧,escandaloso
喧,bullicioso
圏,esfera
圏,círculo
圏,radio
圏,rango
堅,duro
堅,sólido
堅,firme
堅,apretado
堅,estricto
嫌,antipatía
嫌,aversión
嫌,obediencia
嫌,detestar
嫌,odiar
嫌,aborrecer
建,construir
建,edificar
建,levantarse
建,"ser construido"
憲,regulación
憲,ley
憲,norma
憲,funcionario
懸,suspender
懸,colgar
懸,depender
懸,"estar suspendido"
拳,"puño (cerrado)"
検,examinar
検,investigar
検,analizar
権,derechos
権,autoridad
権,poder
権,"establecer temporalmente"
犬,perro
献,oferta
献,ofrenda
献,dedicar
献,ofrecer
献,"contador de bebidas"
研,estudio
研,afilar
研,pulir
硯,"piedra para hacer tinta"
絹,seda
県,prefectura
肩,hombro
見,vista
見,ver
見,esperanza
見,idea
見,opinión
見,observar
見,"ser visto"
見,"estar a la vista"
見,"poder verse"
見,mostrar
謙,modesto
謙,humilde
謙,condescendiente
賢,inteligente
賢,sabio
賢,ingenioso
軒,"alero del tejado"
軒,"contador para casas"
軒,alto
遣,enviar
遣,despachar
遣,dar
遣,donar
遣,obsequiar
鍵,llave
鍵,"tecla (piano"
鍵,órgano
鍵,etc.)
険,escarpado
険,inaccesible
険,peligroso
険,difícil
顕,claro
顕,distinguido
顕,aclararse
顕,aparecer
顕,existir
験,prueba
験,intento
験,efecto
鹸,salinidad
鹸,salmuera
鹸,jabón
元,comienzo
元,principio
元,origen
元,jefe
原,origen
原,pradera
原,prado
原,campo
厳,solemne
厳,austero
厳,severo
厳,rígido
厳,estricto
幻,visión
幻,espejismo
幻,ilusión
幻,aparición
弦,"cuerda (arco"
弦,"instrumento musical)"
弦,"media luna"
弦,hipotenusa
減,menguar
減,decrecer
減,disminuir
減,resta
減,acortar
源,fuente
源,origen
玄,misterioso
玄,oculto
玄,oscuro
玄,negro
現,presente
現,actual
現,real
現,aparecer
現,"hacerse visible"
現,mostrarse
現,manifestar
現,expresar
絃,cuerda
絃,cordel
絃,"música de shamisen"
言,palabras
言,decir
諺,proverbio
諺,refrán
限,limitar
限,restringir
限,confinar
個,individuo
個,individual
個,"contador para objetos pequeños"
古,viejo
古,antiguo
古,desgastar
呼,llamar
呼,aspirar
固,endurecer
固,fijar
固,terco
固,testarudo
固,"originario de"
姑,suegra
姑,"de momento"
姑,"por ahora"
孤,huérfano
孤,sólo
己,yo
己,"uno mismo"
庫,almacén
庫,bodega
弧,arco
弧,circunferencia
戸,puerta
戸,casa
戸,"puerta corrediza"
故,antiguo
故,intencionadamente
故,excepcional
故,razón
故,difunto
故,causa
故,circunstancias
枯,marchito
枯,seco
枯,decaimiento
枯,secar
枯,malograr
枯,marchitarse
枯,secarse
枯,decaer
湖,lago
狐,zorro
糊,pasta
糊,almidón
糊,"caldo de arroz"
糊,"apariencia ausente"
糊,"apariencia distraída"
股,entrepierna
股,ingle
股,muslo
股,bifurcación
胡,bárbaro
胡,extranjero
虎,tigre
誇,orgullo
誇,jactancia
誇,alarde
誇,exageración
誇,enorgullecerse
誇,alardear
誇,ostentar
誇,exagerar
雇,emplear
雇,contratar
顧,reflejarse
顧,"volverse hacia"
顧,"mirar hacia atrás"
顧,reflexionar
顧,repasar
顧,revisar
鼓,golpeo
鼓,tambor
鼓,animar
五,cinco
五,5
互,mutuo
互,recíproco
互,conjunto
互,mutuamente
互,recíprocamente
互,conjuntamente
伍,equipo
伍,colega
伍,"grupo de cinco hombres (antiguo)"
午,mediodía
呉,dar
呉,recibir
呉,"antigua provincia de China"
吾,yo
吾,mi
吾,nuestro
娯,recreo
娯,placer
娯,diversión
娯,disfrute
後,después
後,atrás
後,detrás
後,retrasarse
御,"prefijo honorífico"
御,manipular
御,gobernar
悟,percibir
悟,discernir
悟,percatarse
悟,"darse cuenta"
梧,"árbol parasol chino"
梧,"árbol fénix"
瑚,"ancestral receptáculo para ofrendas"
碁,"juego del Go"
語,palabra
語,discurso
語,lenguaje
語,hablar
語,conversar
語,narrar
誤,error
誤,equivocarse
護,salvaguardar
護,proteger
護,defender
乞,petición
乞,imploración
乞,invitación
乞,pedir
乞,implorar
乞,invitar
鯉,carpa
交,cambio
交,reemplazo
交,mezcla
交,asociación
交,cruzarse
交,mezclarse
交,cruzar
交,mezclar
侯,marqués
侯,"señor feudal"
侯,daimyo
候,clima
候,tiempo
候,explorar
候,"esperar algo"
候,"forma cortés del verbo ser y estar"
倖,felicidad
倖,suerte
光,rayo
光,luz
光,paisaje
光,honor
光,brillar
光,brillo
公,público
公,imparcial
公,oficial
功,logro
功,méritos
功,éxito
功,servicio
効,eficacia
効,eficiencia
効,efecto
効,"ser efectivo"
厚,grueso
厚,espeso
厚,cordial
厚,calma
口,boca
口,orificio
口,apertura
向,"mirar hacia"
向,volverse
向,"hacer frente"
向,oponerse
后,emperatriz
后,"esposa del emperador"
喉,garganta
坑,hoyo
坑,agujero
坑,caverna
坑,mina
好,agradable
好,"gustar algo"
好,gustar
好,preferir
孔,cavidad
孔,agujero
孔,raja
孔,grieta
孝,"devoción filial"
孝,"deber filial"
宏,amplio
宏,grande
宏,magnífico
工,construcción
工,fabricación
工,obrero
巧,habilidad
巧,destreza
巧,ingenio
巧,diestro
巧,hábil
巧,ingenioso
幸,felicidad
幸,bendición
幸,fortuna
幸,"buena suerte"
広,amplio
広,ancho
広,espacioso
広,ensancharse
広,ensanchar
広,extenderse
広,extender
康,tranquilo
康,calmado
康,sano
弘,difundir
弘,diseminar
恒,eterno
恒,siempre
慌,preocupación
慌,desconcierto
慌,confusión
慌,"estar confundido"
慌,"perder la cabeza"
抗,enfrentarse
抗,resistir
抗,desafiar
抗,oponerse
拘,arrestar
拘,agarrar
拘,coger
拘,adherir
拘,afectar
控,contención
控,refreno
控,moderación
控,apuntar
控,"tomar nota"
控,contenerse
控,refrenarse
控,moderarse
攻,agresión
攻,ataque
攻,asalto
攻,agredir
攻,atacar
攻,asaltar
昂,subir
昂,elevar
昂,entusiasmado
晃,deslumbrante
晃,claro
更,renovar
更,cambiar
更,"caer la noche"
更,"de nuevo"
更,aún
校,escuela
校,colegio
校,"centro docente"
構,construir
構,ensamblar
構,preparación
構,preocupación
構,establecerse
構,montar
構,poner
構,"interesarse por"
構,"preocuparse por"
江,"gran río"
江,ensenada
江,bahía
洪,corriente
洪,diluvio
洪,inundación
浩,amplio
浩,extenso
浩,vasto
浩,inmenso
港,puerto
港,portuario
溝,cuneta
溝,zanja
溝,alcantarilla
溝,desagüe
甲,caparazón
甲,armadura
甲,"voz alta"
甲,primero
皇,emperador
硬,rígido
硬,duro
硬,firme
稿,borrador
稿,copia
稿,manuscrito
紅,carmesí
紅,"rojo fuerte"
紅,carmín
紘,"de gran alcance"
紘,espacioso
絞,constreñir
絞,contraer
絞,torcer
絞,estrujar
綱,soga
綱,cuerda
綱,cordón
綱,categoría
耕,cultivar
耕,arado
耕,arar
耕,labrar
考,idea
考,pensar
考,investigar
考,considerar
肯,acuerdo
肯,consentimiento
肯,admitir
肯,asentir
肯,"acceder a"
航,navegar
航,volar
荒,áspero
荒,tosco
荒,rudo
荒,salvaje
荒,violento
荒,desolarse
荒,enfurecerse
行,ir
行,fila
行,"línea (texto)"
行,ocurrencia
行,conducta
行,realizar
行,"llevar a cabo"
行,ocurrir
衡,balanza
衡,escala
衡,peso
講,conferencia
講,discurso
講,explicación
講,asociación
講,grupo
講,reunión
講,"hacer las paces"
貢,tributo
貢,finanzas
貢,tributar
貢,financiar
購,suscripción
購,compra
郊,afueras
郊,suburbios
郊,"área rural"
酵,fermento
酵,fermentación
鉱,mineral
鋼,acero
閤,koden
閤,"edificio donde residen personas de alto nivel social"
降,caer
降,bajar
降,descender
降,llover
降,rendirse
降,"desde entonces"
降,bajarse
項,párrafo
項,cláusula
項,articulo
項,tema
香,incienso
香,perfume
香,fragancia
香,aroma
香,"dar olor"
高,alto
高,caro
高,sobresaliente
高,elevar
高,levantar
鴻,"pájaro grande"
鴻,"ganso salvaje"
剛,fuerte
剛,robusto
剛,inflexible
剛,rígido
号,número
合,adecuado
合,apropiado
合,correcto
合,"sentar bien"
合,"ser adecuado"
合,"ser correcto"
合,"hacer juego"
拷,torturar
拷,golpear
豪,avasallador
豪,poderoso
豪,vigoroso
豪,sobresaliente
克,vencer
克,superar
克,"ser capaz"
克,"ser diestro en"
刻,grabar
刻,esculpir
刻,triste
刻,angustiado
刻,tiempo
刻,afilar
刻,cincelar
告,revelación
告,contar
告,informar
告,anunciar
国,país
穀,cereales
穀,grano
酷,severidad
酷,crueldad
酷,atrocidad
酷,injusticia
黒,negro
黒,maldad
獄,prisión
獄,cárcel
腰,caderas
腰,cintura
腰,anca
腰,ijada
腰,lomo
骨,hueso
骨,esqueleto
込,abarrotar
込,llenarse
込,apiñarse
込,meter
込,incluir
此,este
此,"esto [nk]"
頃,tiempo
頃,aproximadamente
頃,hacia
頃,sobre
今,ahora
今,"momento actual"
困,dificultades
困,preocupaciones
困,sufrir
困,afligirse
困,"hallarse en apuros"
墾,"tierra de cultivo"
墾,cultivar
婚,matrimonio
婚,casamiento
恨,rencor
恨,resentimiento
恨,odio
恨,arrepentimiento
恨,"guardar rencor"
恨,"estar resentido"
恨,arrepentirse
懇,sociable
懇,amable
懇,cortés
懇,hospitalario
懇,cordial
昆,descendientes
根,"raíz matemática"
根,perseverancia
根,raíz
混,mezclar
混,mezclarse
混,confundir
混,"estar mezclado"
混,agitar
紺,"azul oscuro"
紺,"azul marino"
魂,alma
魂,espíritu
魂,corazón
佐,ayuda
佐,asistencia
佐,"rango militar"
唆,tentar
唆,seducir
唆,instigar
嵯,escarpado
嵯,accidentado
嵯,abrupto
左,izquierda
差,distinción
差,diferencia
差,remanente
差,poner
差,echar
差,verter
査,investigar
査,examinar
査,inspeccionar
沙,arena
沙,gravilla
沙,desierto
瑳,betún
瑳,cera
瑳,brillo
瑳,lustre
砂,arena
砂,gravilla
詐,mentira
詐,falsedad
詐,engañar
詐,fingir
鎖,conexión
鎖,cerrar
鎖,cadena
裟,"sobrepelliz de monjes budistas"
坐,sentarse
座,sitio
座,asiento
座,constelación
座,sentarse
挫,aplastamiento
挫,torcedura
挫,desaliento
挫,desánimo
挫,aplastar
挫,arrugar
挫,torcer
挫,romper
挫,desalentar
挫,desanimar
債,préstamo
債,deuda
債,aligación
催,"efectuar según los planes"
催,reunión
催,"función teatral"
催,organizar
催,celebrar
催,llevar
催,traer
再,"de nuevo"
再,"otra vez"
再,re-
再,repetidamente
最,"prefijo para superlativo"
最,más
最,sumamente
最,extremadamente
哉,¿cómo?
哉,¿qué?
哉,exclamación
妻,esposa
妻,mujer
妻,"esposa propia"
宰,supervisar
宰,dirigir
宰,administrar
彩,color
彩,coloración
彩,colorido
彩,colorear
才,talento
才,capacidad
才,habilidad
才,"años de edad"
採,recoger
採,recolectar
採,seleccionar
採,elegir
採,"recoger (fruta)"
採,"adoptar (medida)"
栽,plantación
栽,siembra
歳,año
歳,edad
済,ayudar
済,rescatar
済,terminar
済,finalizar
済,acabar
済,concluir
済,reembolsar
済,devolver
災,desastre
災,calamidad
災,catástrofe
采,forma
采,apariencia
采,colorido
砕,destrozar
砕,romper
砕,aplastar
砕,despedazar
祭,celebración
祭,fiesta
祭,venerar
祭,adorar
斎,"purificación y culto"
斎,"habitación para aislarse"
細,estrecho
細,fino
細,delgado
細,detallado
細,adelgazar
細,minucioso
菜,verduras
菜,entremeses
菜,vegetales
裁,"cortar (tela"
裁,papel)
裁,juzgar
裁,forma
裁,decidir
載,"poner sobre"
載,"llevar (en coche"
載,etc.)
載,"salir en el periódico"
載,"un año"
際,límite
際,frontera
際,asociación
際,unión
際,ocasión
剤,medicina
剤,droga
在,existir
在,"pueblo natal"
在,alrededores
在,ser
材,talento
材,habilidad
材,material
材,leño
罪,culpabilidad
罪,pecado
罪,delito
罪,crimen
罪,defecto
罪,culpa
財,propiedad
財,dinero
財,riqueza
財,fortuna
財,activos
冴,"congelarse bruscamente"
坂,cuesta
坂,pendiente
阪,cuesta
阪,pendiente
阪,"abreviación de Osaka"
堺,frontera
堺,borde
榊,"árbol sakaki (árbol sagrado japonés)"
肴,tapa
肴,"acompañamiento para la bebida"
咲,florecer
崎,promontorio
崎,cabo
崎,espita
埼,cabo
埼,espita
埼,promontorio
作,hacer
作,construir
作,fabricar
作,conducta
作,comportamiento
作,crear
削,cepillo
削,cepillar
削,tallar
削,modelar
搾,apretón
搾,estrujón
搾,presión
搾,apretar
搾,estrujar
搾,comprimir
昨,ayer
昨,previo
昨,anterior
朔,"primer día del calendario lunar"
朔,"dirección norte"
朔,calendario
策,esquema
策,plan
策,estrategia
索,soga
索,cordón
索,cuerda
索,buscar
索,disperso
錯,confundirse
錯,mezclarse
錯,equivocarse
錯,"estar desordenado"
桜,cerezo
桜,"flor de cerezo"
鮭,salmón
笹,"hierba de bambú"
冊,tomo
冊,volumen
冊,"contador para libros"
刷,impreso
刷,estampado
刷,imprimir
察,adivinar
察,suponer
察,percibir
拶,acercarse
拶,"ser inminente"
撮,recoger
撮,"tomar fotos"
擦,frotar
擦,restregar
擦,rascar
擦,raspar
札,etiqueta
札,"papel moneda"
札,billete
札,"tarjeta señal"
殺,matar
殺,"quitar la vida"
薩,Buda
薩,"sonido 'satsu' en sánscrito"
雑,misceláneo
雑,varios
雑,mezclado
雑,basto
雑,tosco
皐,pantano
皐,orilla
鯖,caballa
鮫,tiburón
皿,plato
三,tres
三,3
傘,paraguas
傘,parasol
傘,toldo
参,visita
参,asistencia
参,consulta
参,derrota
参,ir
参,venir
参,"visitar [humilde]"
参,asistir
参,"ser derrotado"
山,montaña
惨,cruel
惨,horrible
惨,desastroso
散,esparcir
散,dispersar
散,derramar
散,caer
散,esparcirse
散,"estar desordenado"
桟,travesaño
桟,armazón
桟,muelle
桟,embarcadero
燦,brillante
産,producto
産,producir
産,propiedad
産,"dar a luz"
産,nacer
算,cálculo
算,cómputo
算,expectativas
蚕,"gusano de seda"
讃,alabanza
讃,elogio
讃,"placa de un cuadro"
讃,alabar
讃,elogiar
賛,admirar
賛,alabar
賛,elogiar
賛,ayudar
賛,consentir
賛,aprobar
酸,ácido
酸,agrio
斬,cortar
斬,decapitar
斬,"matar (a espada)"
暫,"por poco tiempo"
暫,"un rato"
暫,"un momento"
残,resto
残,balance
残,quedar
残,dejar
仕,trabajo
仕,servir
仕,asistir
伺,"hacer una visita"
伺,"preguntar por"
使,usar
使,manejar
使,emplear
刺,espina
刺,punzar
刺,pinchar
刺,apuñalar
刺,"tarjeta de visita"
司,dirigir
司,gobernar
司,ordenar
史,historia
史,crónica
嗣,heredero
嗣,sucesor
四,cuatro
四,4
士,caballero
士,samurai
士,hombre
始,comenzar
始,empezar
始,"empezar (trans.)"
始,"empezar (intrans.)"
姉,"hermana mayor"
姿,figura
姿,forma
姿,apariencia
子,chiquillo
子,niño
市,mercado
市,ciudad
師,maestro
師,profesor
師,experto
師,técnico
志,intención
志,deseo
志,aspiración
志,ambición
志,aspirar
志,desear
志,voluntad
思,pensar
思,considerar
指,dedo
指,apuntar
指,señalar
支,soporte
支,apoyo
支,rama
支,pago
支,interferencia
支,soportar
支,sostener
施,distribuir
施,"dar limosnas"
施,"administrar primeros auxilios"
旨,principio
旨,idea
旨,significado
旨,delicioso
旨,habilidoso
旨,"es decir"
枝,rama
枝,bifurcación
止,parar
止,cesar
止,"dejar de hacer"
止,detenerse
止,pararse
止,detener
死,muerte
死,morir
氏,apellido
氏,clan
氏,señor
獅,león
祉,bienestar
祉,felicidad
祉,bendición
私,yo
私,privado
私,secreto
糸,hilo
糸,hebra
糸,cuerda
紙,papel
紙,periódico
紫,púrpura
紫,violeta
肢,extremidades
肢,"brazos y piernas"
脂,grasa
脂,sebo
脂,resina
至,llegar
至,alcanzar
至,apogeo
至,clímax
視,inspeccionar
視,"mirar con cuidado"
視,considerar
詞,"parte de oración"
詞,palabras
詞,poesía
詩,poema
詩,poesía
試,prueba
試,ensayo
試,experimento
試,probar
試,experimentar
試,intentar
誌,documento
誌,escrito
誌,revista
諮,consulta
諮,consejo
諮,"consultar con"
諮,"pedir consejo"
資,recurso
資,capital
資,naturaleza
資,"posición social"
賜,otorgar
賜,conceder
雌,hembra
雌,femenino
飼,criar
飼,mantener
飼,"tener animales"
歯,diente
歯,"diente de engranaje"
事,cosa
事,hecho
事,asunto
事,acción
似,"parecerse a"
似,parecerse
似,"ser similar"
侍,sirviente
侍,criado
侍,samurai
児,"recién nacido"
児,chiquillo
児,cría
字,carácter
字,letra
字,palabra
寺,"templo budista"
寺,templo
慈,amar
慈,encariñarse
慈,misericordia
慈,"tener misericordia"
持,duración
持,propiedad
持,cargo
持,sostener
持,mantener
時,tiempo
時,hora
時,ocasión
次,siguiente
次,seguir
滋,florecer
滋,"ser exuberante"
滋,nutritivo
治,reinar
治,gobernar
治,política
治,curar
治,calmar
治,curarse
爾,tú
爾,eso
爾,cerca
璽,"sello imperial"
磁,imán
磁,porcelana
示,mostrar
示,enseñar
示,indicar
示,revelar
耳,oreja
耳,oído
自,"uno mismo"
自,"por sí mismo"
自,auto-
蒔,sembrar
蒔,"esparcir (semillas)"
辞,renuncia
辞,dimisión
辞,palabra
辞,discurso
辞,retirarse
辞,abandonar
汐,ocaso
汐,marea
汐,"agua salada"
鹿,venado
鹿,ciervo
式,ceremonia
式,método
式,sistema
式,forma
識,discernir
識,distinguir
識,símbolo
軸,eje
軸,pivote
軸,péndulo
軸,mango
宍,músculos
宍,carne
雫,gota
雫,gotear
雫,chorrear
雫,calar
七,siete
七,7
叱,regañina
叱,reproche
叱,regañar
叱,reprochar
執,dirigir
執,"hacer negocios"
執,"tomar el control"
失,pérdida
失,error
失,defecto
失,fallo
失,perder
失,malograr
失,errar
室,habitación
室,cuarto
室,caverna
室,guarida
室,gruta
湿,humedecer
湿,mojar
漆,laca
漆,barniz
疾,enfermedad
疾,enfermar
疾,rápido
疾,violento
質,substancia
質,contenido
質,simplicidad
質,calidad
質,depósito
質,custodia
実,realidad
実,verdad
実,fruta
実,nuez
実,semilla
実,contenido
実,"buen resultado"
実,"dar frutos"
実,madurar
偲,recordar
偲,"acordarse de"
柴,maleza
柴,leña
芝,césped
芝,hierba
縞,rayas
縞,"a rayas"
舎,"casa de campo"
舎,posada
舎,cabaña
舎,casa
写,copiar
写,imitar
写,fotografiar
射,disparar
射,tirar
射,radiar
射,liberar
捨,descartar
捨,tirar
捨,arrojar
捨,abandonar
捨,limosna
捨,donación
赦,perdón
赦,perdonar
斜,diagonal
斜,inclinado
斜,oblicuo
煮,cocer
煮,hervir
社,compañía
社,asociación
社,sociedad
社,"santuario shintoísta"
紗,gasa
紗,"hilo fino"
者,persona
謝,disculparse
謝,agradecer
謝,rehusar
車,coche
車,vehículo
車,rueda
遮,interceptar
遮,interrumpir
遮,obstruir
蛇,serpiente
邪,injusticia
邪,equivocación
借,deuda
借,"pedir prestado"
借,alquilar
勺,cucharón
勺,"unidad de capacidad y área"
尺,regla
尺,medida
尺,"antigua unidad de medida"
爵,linaje
爵,"título nobiliario"
酌,"servir sake"
酌,sacar
酌,bombear
釈,explicación
釈,interpretación
釈,perdón
釈,"abreviatura de Buda"
若,joven
若,algunos
若,posiblemente
若,"de otra forma"
寂,soledad
寂,solitario
寂,morir
寂,caer
弱,débil
弱,endeble
弱,delicado
弱,debilitarse
弱,debilitar
主,señor
主,jefe
主,dueño
主,patrón
取,tomar
取,coger
守,"guardar proteger"
守,defender
守,guardar
守,proteger
手,mano
朱,bermellón
朱,"rojo oscuro"
朱,"antigua unidad monetaria"
殊,particularmente
殊,especialmente
殊,excepcionalmente
狩,cacería
狩,caza
狩,cazar
珠,perla
珠,gema
珠,joya
種,semilla
種,tipo
種,variedad
種,clase
種,noticia
趣,significado
趣,sentido
趣,apariencia
趣,proceder
酒,sake
酒,alcohol
酒,"vino de arroz"
首,cuello
首,principio
儒,confucionismo
受,recipiente
受,acepción
受,aceptar
受,recibir
受,tomar
受,"aprobar examen"
呪,maldición
呪,hechizo
呪,maldecir
呪,hechizar
呪,encantar
寿,longevidad
寿,felicitaciones
授,impartir
授,instruir
授,conceder
授,otorgar
授,enseñar
授,recibir
授,"ser otorgado"
樹,árbol
樹,vegetación
樹,establecer
需,demanda
需,petición
需,solicitud
囚,esclavitud
囚,prisión
囚,cautividad
囚,esclavizar
囚,encarcelar
収,ingresar
収,obtener
収,recibir
収,almacenar
収,aceptar
収,"ser obtenido"
収,"ser pagado"
周,circunferencia
周,vuelta
周,alrededores
周,difundir
宗,"enseñanzas religiosas"
宗,fundamento
宗,origen
就,"llegar al trabajo"
就,realizar
就,"establecerse en"
就,"tomar posición"
就,"llevar a cabo"
州,estado
州,provincia
州,"banco de arena"
修,disciplina
修,reparación
修,arreglo
修,dominar
修,controlar
修,controlarse
愁,melancolía
愁,aflicción
愁,sentimiento
愁,"estar melancólico"
愁,"estar afligido"
拾,recoger
拾,colectar
洲,"banco de arena"
洲,continente
秀,sobresaliente
秀,excelente
秀,sobresalir
秀,sobrepasar
秋,otoño
終,fin
終,final
終,terminar
終,acabar
終,finalizar
習,aprender
習,estudiar
臭,peste
臭,hedor
臭,"mal olor"
臭,apestar
臭,"oler mal"
舟,bote
舟,barco
衆,multitud
衆,masas
襲,ataque
襲,avance
襲,sucesión
襲,atacar
襲,sorprender
蹴,patada
蹴,rechazo
蹴,"dar una patada"
蹴,"rechazar con fuerza"
週,semana
酬,recompensa
酬,premio
酬,retribución
集,reunir
集,coleccionar
集,reunirse
醜,feo
醜,"mal aspecto"
醜,innoble
醜,vergüenza
住,residir
住,vivir
住,habitar
住,residencia
充,asignar
充,llenar
充,rellenar
十,diez
十,10
従,seguir
従,obedecer
従,doblegar
柔,suave
柔,tierno
柔,blando
汁,sopa
汁,jugo
汁,caldo
汁,salsa
渋,astringente
渋,austero
渋,tacaño
渋,renuente
渋,"tener diarrea"
獣,animal
獣,bestia
獣,res
縦,vertical
縦,"hacer según se ha pensado"
重,pesado
重,importante
重,apilar
重,amontonar
銃,arma
銃,pistola
銃,rifle
叔,tío
叔,tía
宿,posada
宿,alojamiento
宿,hostal
宿,hospedar
宿,"concebir un hijo"
淑,gracioso
淑,gentil
淑,puro
祝,celebración
祝,felicitación
祝,celebrar
祝,felicitar
縮,acortar
縮,reducir
縮,restringir
縮,encoger
縮,contraerse
縮,"estar rizado"
縮,rizar
粛,solemne
粛,respetuoso
粛,severo
塾,"colegio privado"
塾,academia
熟,madurar
熟,"adquirir habilidad"
熟,"pensar bien"
出,salir
出,dejar
出,sacar
術,arte
術,técnica
術,"manera de hacer las cosas"
述,mencionar
述,expresar
述,contar
俊,excelente
俊,sobresaliente
峻,alto
峻,empinado
峻,estricto
春,primavera
春,"comienzo del año"
春,"tiempos de juventud"
瞬,instante
瞬,momento
竣,fin
竣,final
舜,"malva rosa"
舜,"malva real"
駿,"caballo veloz"
駿,"persona rápida"
准,permitir
准,imitar
准,cuasi
准,semi-
循,girar
循,"dar vueltas"
旬,decamerón
旬,"periodo de 10 días"
楯,escudo
楯,pretexto
殉,martirio
殉,sacrificio
淳,grueso
淳,espeso
淳,puro
準,semi
準,asociado
準,norma
準,asemejar
潤,humedad
潤,provecho
潤,encanto
潤,humedecer
潤,"sacar provecho"
盾,escudo
盾,pretexto
純,puro
純,genuino
純,pureza
