炎,flamme
炎,incendie
煙,fumée
猿,singe
縁,affinité
縁,relation
縁,karma
縁,rapport
縁,bord
縁,bordure
艶,luisant
艶,brillant
艶,lustré
艶,charmant
艶,poli
艶,verni
艶,coloré
艶,captivant
苑,"jardins (impériaux)"
苑,parc
苑,ferme
苑,recueil
遠,loin
遠,distant
鉛,plomb
塩,sel
於,dans
於,en
於,à
於,"en ce qui concerne"
汚,sale
汚,polluer
汚,disgrâce
汚,profaner
汚,souiller
凹,concave
凹,creux
凹,dépression
央,centre
央,milieu
奥,intérieur
奥,coeur
奥,fond
奥,épouse
往,"aller simple"
往,aller
往,"parer (coup)"
往,voyage
往,parfois
応,postuler
応,oui
応,OK
応,accepter
応,"combler (satisfaire)"
応,répondre
押,appuyer
押,pousser
押,arrêter
押,contrôler
押,soumettre
押,attacher
押,saisir
押,maintenir
押,sceau
押,presser
押,"faire en dépit de"
横,latéral
横,côté
横,horizontal
横,largeur
横,"trame (tissu)"
欧,Europe
殴,assaut
殴,attaque
殴,frapper
殴,battre
殴,rosser
王,roi
王,régner
王,magnat
翁,"vénérable vieillard"
黄,jaune
岡,mont
岡,colline
岡,butte
沖,"au large"
沖,"en haute mer"
沖,"montée au ciel"
荻,roseau
荻,jonc
億,"cent millions"
億,10**8
屋,toit
屋,maison
屋,échoppe
屋,négociant
屋,vendeur
憶,souvenir
憶,mémoire
憶,réminiscence
乙,"radical hameçon (no. 5)"
乙,chic
乙,"signe du 2ème tronc céleste"
乙,dernier
乙,second
乙,étrange
卸,"vente en gros"
恩,faveur
恩,gentillesse
恩,bonté
恩,pitié
恩,grâce
恩,bénédiction
恩,bienfait
温,chaud
穏,paisible
穏,calme
穏,modéré
音,son
音,bruit
下,au-dessous
下,descendre
下,bas
下,"donner (vous me donnez)"
下,inférieur
化,transformation
化,"prendre la forme de"
化,maquillage
化,influence
化,fantôme
化,enchanter
化,tromper
化,chimie
化,-isation
仮,factice
仮,intérim
仮,temporaire
仮,"emprunt (nom d')"
仮,informel
仮,ka(na)
何,quoi
価,prix
価,valeur
佳,excellent
佳,beau
佳,bon
佳,plaisant
佳,habile
加,ajouter
加,addition
加,augmentation
加,rejoindre
加,inclure
加,Canada
可,possible
可,acceptable
可,"ne doit pas"
可,"ne pas, négatif"
夏,été
嫁,"prendre mari"
嫁,mariage
嫁,belle-fille
家,maison
寡,"très peu"
寡,minorité
寡,veuve
科,département
科,section
科,cours
科,science
暇,"temps libre"
暇,repos
暇,loisirs
暇,temps
暇,congé
果,fruit
果,récompense
果,"remplir (tâche)"
果,achever
果,compléter
果,finir
果,réussir
果,"atteindre un but"
架,ériger
架,monter
架,"suspendre (pont)"
架,"supporter (poids)"
架,étagère
架,construire
歌,chanson
歌,chanter
河,rivière
河,fleuve
火,feu
禍,calamité
禍,malchance
禍,mal
禍,malédiction
稼,gains
稼,travail
稼,"gagner de l'argent"
箇,unités
箇,"compteur de choses"
花,fleur
荷,bagages
荷,balancier
荷,"porter (un fardeau)"
荷,"épauler (fusil)"
荷,cargaison
荷,chargement
荷,fret
華,splendeur
華,fleur
華,pétale
華,briller
華,lustre
華,ostentatoire
華,voyant
華,magnifique
菓,friandise
菓,gâteau
菓,fruit
課,leçon
課,chapitre
課,section
課,service
課,division
課,"compteur de chapitres"
貨,fret
貨,biens
過,passer
過,dépasser
過,excéder
過,erreur
蚊,moustique
我,ego
我,je
我,moi
我,égoïste
我,notre
我,soi-même
牙,croc
牙,défense
牙,"radical défense d'ivoire (no. 92)"
画,"trait de plume"
画,dessin
画,écran
画,"compteur de traits de kanji"
芽,bourgeon
芽,pousse
芽,brin
芽,germe
賀,félicitations
賀,joie
雅,"bon goût"
雅,élégant
雅,gracieux
雅,raffiné
餓,famine
餓,faim
餓,soif
介,immixtion
介,coquillage
介,intervention
介,intermédiaire
介,"s'occuper de"
会,réunion
会,rencontre
会,meeting
会,parti
会,association
会,entrevue
会,rejoindre
解,délier
解,notes
解,clé
解,explication
解,compréhension
解,défaire
解,résoudre
解,répondre
解,annuler
解,absoudre
解,expliquer
解,minute
回,tourner
回,fois
回,rond
回,"manche (jeu)"
回,tour
回,révolution
回,récurrence
回,"compteur de fois"
塊,motte
塊,caillot
塊,masse
壊,démolition
壊,casser
壊,détruire
快,agréable
快,gai
快,plaisant
快,confortable
怪,méfiant
怪,mystère
怪,apparition
悔,regret
悔,repentir
懐,poche
懐,bourse
懐,sentiments
懐,coeur
懐,apprivoiser
懐,nostalgie
懐,"aspirer à"
懐,"s'attacher à"
懐,"manquer (personne)"
懐,seins
戒,châtiment
戒,avertissement
拐,rapt
拐,falsifier
改,réforme
改,changer
改,modifier
改,améliorer
改,renouveler
改,examiner
改,inspecter
改,chercher
械,instrument
械,machine
械,entrave
海,mer
海,océan
灰,cendre
灰,lessive
灰,incinéré
界,monde
皆,tout
皆,tous
絵,image
絵,dessin
絵,peinture
絵,esquisse
開,ouvrir
開,s'ouvrir
開,"briser le sceau"
階,étage
階,niveau
階,"compteur d'étages"
貝,coquillage
劾,censure
劾,"enquête criminelle"
外,extérieur
害,tort
害,mal
害,blessure
慨,repentir
慨,regret
慨,triste
慨,soupir
慨,plainte
概,"grandes lignes"
概,"dans l'ensemble"
概,approximation
概,"en gros"
概,"en général"
涯,horizon
涯,rivage
街,boulevard
街,rue
街,ville
該,ci-dessus
該,"le dit"
該,concerné
該,"la chose en question"
垣,haie
垣,clôture
垣,mur
嚇,menaçant
嚇,dignité
嚇,majesté
各,chacun
各,chaque
拡,élargir
拡,étendre
拡,développer
拡,agrandir
格,rang
格,statut
格,capacité
格,caractère
格,"cas (loi, grammaire)"
核,noyau
核,nucléaire
核,coeur
殻,coquille
殻,"enveloppe (grain)"
獲,prise
獲,capturer
獲,obtenir
獲,gagner
獲,acquérir
獲,pouvoir
獲,"pouvoir faire"
確,certitude
確,confirmation
確,sûr
確,solide
確,clair
確,évident
穫,récolte
穫,moisson
覚,mémoriser
覚,"se rappeler"
覚,perception
覚,sens
覚,réveil
覚,dessoûler
角,angle
角,coin
角,carré
角,corne
角,"bois (andouillers)"
較,contraste
較,comparer
郭,enceinte
郭,quartiers
郭,fortifications
郭,"quartier chaud"
閣,tour
閣,"tour (immeuble)"
閣,palais
隔,distance
隔,isoler
隔,séparer
隔,"tous les deux (jours, mois, ..)"
隔,"fossé (fig.)"
革,cuir
革,peau
革,fourrure
革,"devenir sérieux"
革,rénovation
革,réforme
学,étudier
学,apprendre
学,science
岳,pointe
岳,pic
岳,montagne
楽,musique
楽,agréable
楽,confort
額,front
額,tablette
額,plaque
額,"peinture (encadrée)"
額,somme
額,montant
額,volume
掛,accrocher
掛,suspendre
掛,dépendre
掛,"arriver à"
掛,taxe
掛,verser
笠,"chapeau de bambou"
笠,"influence (d'une personne)"
潟,lagon
割,briser
割,diviser
割,couper
割,séparer
割,proportion
割,"pourcentage (10%)"
喝,gronder
喝,rauque
括,lier
括,attacher
括,arrêter
括,serrer
活,vivant
活,animé
活,résurrection
活,"être aidé"
渇,soif
渇,sécheresse
滑,glisser
滑,glissant
滑,rater
褐,brun
褐,"kimono de laine"
轄,contrôle
轄,"cale (coin)"
且,"de plus"
且,"en outre"
且,"et aussi"
株,"action boursière"
株,titre
株,"souche (arbre)"
株,"compteur de petites plantes"
蒲,"massette (typha latifolia)"
鎌,faucille
鎌,serpe
鎌,faux
鎌,duper
刈,moissonner
刈,faucher
刈,tondre
刈,tailler
刈,couper
瓦,tuile
瓦,gramme
乾,sécheresse
乾,sécher
乾,dessécher
乾,"vider (verre)"
乾,cieux
乾,empereur
冠,couronne
冠,"le meilleur"
冠,inégalable
寒,"froid (temps)"
刊,publier
刊,ciseler
刊,graver
勘,intuition
勘,perception
勧,persuader
勧,recommander
勧,conseiller
勧,encourager
勧,offre
巻,rouleau
巻,livre
巻,tome
巻,volume
巻,partie
巻,enrouler
巻,envelopper
巻,"compteur de textes (manuscrits roulés)"
喚,hurler
喚,crier
堪,résistance
堪,endurer
堪,supporter
堪,résister
完,parfait
完,achèvement
完,accompli
官,fonctionnaire
官,gouvernemental
寛,tolérant
